title,titleL,family,maxPoints
Подмаренник мягкий,Galium mollugo L. ,Мареновые,2
Подмаренник приречный,Galium rivale L. ,Мареновые,3
Подмаренник промежуточный (П. Шультеса),Galium intermedium Schult.,Мареновые,4
Подмаренник северный,Galium boreale L. ,Мареновые,4
Подорожник большой,Plantago major L. ,Подорожниковые,1
Подорожник ланцетный,Plantago lanceolata L. ,Подорожниковые,2
Подорожник средний,Plantago media L. ,Подорожниковые,2
Подсолнечник клубненосный;Топинамбур,Helianthus tuberosus L.,Сложноцветные,2
Полевица гигантская,Agrostis gigantea Roth,Злаковые,4
Полевица побегообразующая,Agrostis stolonifera L. ,Злаковые,4
Полевица тонкая,Agróstis capilláris L.,Злаковые,4
Полынь обыкновенная; чернобыльник,Artemisia vulgaris L. ,Сложноцветные,2
Полынь равнинная,Artemísia campéstris L.,Сложноцветные,2
Полынь сизая (горькая),Artemísia absínthium L.,Сложноцветные,2
Пролесник многолетний,Mercurialis perennis L.,Молочайные,3
Пузыреплодник калинолистный,Physocarpus opulifolus (L.) Maxim.,Розоцветные,1
Пусторёберник обнажённый,Cenolophium denudatum (Hornem.) Tutin,Зонтичные,3
Пустырник пятилопастный,Leonurus quinquelobatus Gilib. ,Губоцветные,3
Пырей ползучий,Elytrigia repens (L.) Nevski,Злаковые,4
Пырейник собачий,Elymus caninus (L.) L.,Злаковые,4
Рдест блестящий,Potamogeton lucens L.,Рдестовые,4
Рдест гребенчатый,Potamogeton pectinatus L.,Рдестовые,4
Рдест пронзённолистный,Potamogeton perfoliatus L.,Рдестовые,4
Редька дикая,Raphanus raphanistrum L.,Крестоцветные,2
Рейнутрия богемская ,Reynoutria bohemica,Гречишные,2
Репешок обыкновенный,Agrimonia eupatoria L. ,Розоцветные,2
Робиния лжеакация (Акация белая),Robinia pseudoacacia L.,Бобовые,1
Рогоз широколистный,Typha latifolia L.,Рогозовые,2
Роголистник погруженный,Ceratophyllum demersum,Роголистниковые,4
Ромашка непахучая,Matricaria perforata Merat ,Сложноцветные,2
Ромашка пахучая (безъязычковая),Matricaria discoidea DC.,Сложноцветные,2
Рябина обыкновенная,Sorbus aucuparia L. ,Розоцветные,1
Ряска маленькая,Lemna minor L.,Ароидные (Рясковые),3
Сабельник болотный,Comarum  palustre L.,Розоцветные,3
Свербига восточная,Búnias orientális L.,Крестоцветные,3
Свидина (Дёрен) белая,Swida alba (L.) Opiz ,Кизиловые,1
Селезеночник очерёднолистный,Chrysosplenium alternifolium L. ,Камнеломковые,4
Сердечник горький,Cardamine amara L.,Крестоцветные,4
Сердечник недотрога,Cardamine impatiens L.,Крестоцветные,3
Сивец луговой,Succisa pratensis Moench ,Ворсянковые,2
Синеголовник плосколистный,Eryngium planum L.,Зонтичные,2
Синюха голубая,Polemonium caeruleum L.,Синюховые,3
Синяк обыкновенный,Echium vulgare L.,Бурачниковые,2
Сирень венгерская,Polemonium caeruleum L. ,Маслиновые,1
Сирень обыкновенная,Syringa vulgaris L.,Маслиновые,1
Ситник скученный,Juncus conglomeratus L. ЕСП,Ситниковые,4
Ситник сплюснутый,Juncus compressus Jacq. ЕСП,Ситниковые,4
Ситник тонкий,Juncus compressus Jacq.  ЕСП,Ситниковые,4
Скерда кровельная,Crepis tectorum L.,Сложноцветные,3
Слива домашняя,Prunus domestica L.,Розоцветные,1
Смородина красная,Ribes rubrum L.,Крыжовниковые,1
Смородина черная,Ribes nigrum L. ,Камнеломковые,1
Снежноягодник белый,Symphoricarpos albus (L.) S.F. Blake ,Жимолостные,1
Сныть обыкновенная,Aegopodium podagraria L.,Зонтичные,1
Сосна обыкновенная ,Pínus sylvéstris L.,Сосновые,1
Спирея дубровколистная,Spiraea chamaedryfolia L.,Розоцветные,2
Спирея иволистная,Spiraea salicifolia L.,Розоцветные,2
Спирея японская,Spiraea japonica,Розоцветные,1
Страусник обыкновенный,Matteuccia struthiopteris (L.),Оноклеевые,4
Стрелолист обыкновенный,Sagittaria sagittifolia L.,Частуховые,3
Сумочник пастуший; Пастушья сумка,Capsélla búrsa-pastóris (L. ) Medik.,Крестоцветные,2
Сурепка обыкновенная,Barbarea vulgaris R.Br.,Крестоцветные,2
Сусак зонтичный,Butomus umbellatus L.,Сусаковые,3
Сушеница (Сухоцветка) лесная,Omalotheca sylvatica (L.) Sch. Bip. & F.W. Schultz,Сложноцветные,3
Сушеница топяная,Gnaphalium uliginosum L.,Сложноцветные,3
Таволга (Лабазник) обыкновенная; Земляные орешки,Filipendula vulgaris Moench,Розоцветные,3
Таволга вязолистная,Filipendula ulmaria (L.) Maxim. ,Розоцветные,2
Тимофеевка луговая,Phleum pratense L. ,Злаки,2
Тополь бальзамический,Populus balsamifera L.,Ивовые,1
Тополь белый,Populus alba L.,Ивовые,1
Тополь чёрный,Populus nigra,Ивовые,1
Торица полевая,Spergula arvensis L.,Гвоздичные,3
Трясунка средняя,Briza media L. ,Злаковые,4
